key,Ps0:com.imo.android.imoimalpha
alias,PSS0
unit,(KB)
begin date,2019-06-30
end date,2019-06-30
count,18

,total,dalvik,native
min,46736.0,3570.0,5161.0
max,47347.0,4138.0,5172.0
avg,46889.0,3809.0,5169.0

13:20:56.832,46825,4083,5161
13:20:57.991,46825,4083,5161
13:20:59.179,46823,4083,5161
13:21:00.363,46825,4083,5161
13:21:01.611,47340,4126,5164
13:21:02.875,47347,4138,5172
13:21:04.149,47347,4138,5172
13:21:05.336,47317,4138,5172
13:21:06.530,46737,3570,5172
13:21:07.744,46737,3570,5172
13:21:08.970,46737,3570,5172
13:21:10.172,46737,3570,5172
13:21:11.379,46737,3570,5172
13:21:12.590,46736,3570,5172
13:21:13.777,46737,3570,5172
13:21:15.003,46737,3570,5172
13:21:16.278,46737,3570,5172
13:21:17.446,46737,3570,5172

