key,Pcp0:com.imo.android.imoimalpha
alias,PCP0
unit,(%)
begin date,2019-06-30
end date,2019-06-30
count,24

min,0.0%
max,7.4%
avg,0.5%

13:40:58.246,0.0%
13:40:59.307,0.0%
13:41:00.358,0.0%
13:41:01.406,0.0%
13:41:02.557,0.0%
13:41:03.698,0.0%
13:41:04.880,0.0%
13:41:06.044,0.41%
13:41:07.189,2.47%
13:41:08.380,0.0%
13:41:09.607,0.0%
13:41:10.798,0.0%
13:41:11.968,0.0%
13:41:13.139,0.0%
13:41:14.344,0.0%
13:41:15.532,0.0%
13:41:16.696,0.0%
13:41:17.847,0.0%
13:41:19.027,0.0%
13:41:20.238,0.63%
13:41:21.426,0.0%
13:41:22.623,1.28%
13:41:43.854,0.0%
13:41:45.133,7.4%
