time,dalick,native,graphics,total
16:58:03,24168,15807,78548,203048,
16:58:05,23822,21347,80416,251979,
16:58:06,21782,21703,80960,252126,
16:58:08,21094,21475,80704,248193,
16:58:09,21094,21475,80704,248201,
16:58:11,21098,21455,80704,248149,
16:58:12,20474,21463,80704,247536,
16:58:14,27865,24265,79328,265242,
16:58:16,54089,26189,87176,306494,
16:58:18,48909,26201,87176,301278,
16:58:19,48929,26205,87176,301318,
16:58:21,49001,26373,87176,299431,
16:58:22,49015,25851,87176,299216,
16:58:24,51299,47335,183500,421094,
16:58:27,48047,52795,186100,425778,
16:58:28,48055,53755,186320,426998,
16:58:30,46911,54463,186424,426690,
16:58:31,47115,53419,186540,425910,
16:58:33,47115,53219,186648,425826,
16:58:34,47115,52899,186788,425606,
16:58:36,46467,52863,186896,425026,
16:58:38,46515,52799,186900,425014,
16:58:39,46531,52675,186912,424894,
16:58:41,46575,53663,186920,425938,
16:58:42,46455,53715,186924,425870,
16:58:44,46467,53643,186456,425586,
16:58:45,46527,53499,186468,425526,
16:58:47,46551,53519,186476,425574,
16:58:48,46467,53347,186484,425322,
16:58:50,46555,53287,186492,425366,
16:58:51,46563,53131,186504,425230,
16:58:53,46563,53031,186512,425138,
16:58:54,46635,53679,186516,425852,
16:58:56,46659,53963,186528,426164,
