time,cpu
17:13:16,0.0%
17:13:18,43.12%
17:13:19,27.34%
17:13:20,10.13%
17:13:21,5.13%
17:13:23,5.99%
17:13:24,6.65%
17:13:25,6.93%
17:13:27,11.55%
17:13:28,32.17%
17:13:29,33.0%
17:13:30,8.89%
17:13:32,7.28%
17:13:33,6.31%
17:13:34,12.9%
17:13:36,9.27%
17:13:37,11.33%
17:13:38,18.93%
17:13:40,39.31%
17:13:41,31.69%
17:13:42,27.18%
17:13:43,35.17%
17:13:45,21.39%
17:13:46,20.6%
17:13:47,22.04%
17:13:49,21.57%
17:13:50,19.72%
17:13:51,21.44%
17:13:52,21.37%
17:13:54,21.86%
17:13:55,36.87%
17:13:56,40.76%
17:13:58,33.72%
17:13:59,32.61%
17:14:00,34.37%
17:14:01,35.84%
17:14:03,34.18%
17:14:04,27.08%
17:14:05,22.08%
17:14:06,22.08%
17:14:08,23.52%
17:14:09,21.28%
17:14:10,21.27%
17:14:12,22.68%
17:14:13,22.72%
17:14:14,22.34%
17:14:15,21.68%
17:14:17,22.77%
