time,down,up,down_speed,up_speed
19:42:41,0.0,0.05078125,0.0,0.42,
19:42:42,0.30078125,0.98828125,0.24,0.75,
19:42:44,0.943359375,2.7138671875,0.56,1.49,
19:42:45,1.689453125,3.9873046875,0.64,1.09,
19:42:46,1.98046875,4.138671875,0.26,0.13,
19:42:47,1.98046875,4.138671875,0.0,0.0,
19:42:48,1.98046875,4.138671875,0.0,0.0,
19:42:49,2.029296875,4.1806640625,0.04,0.04,
19:42:51,2.029296875,4.1806640625,0.0,0.0,
19:42:52,2.5048828125,6.0458984375,0.39,1.55,
19:42:53,23.6376953125,16.466796875,18.65,9.2,
19:42:54,203.4873046875,29.654296875,158.04,11.59,
19:42:55,203.5361328125,29.6962890625,0.04,0.04,
19:42:56,203.5361328125,29.6962890625,0.0,0.0,
19:42:58,203.5908203125,29.8466796875,0.05,0.13,
19:42:59,203.7392578125,29.935546875,0.12,0.07,
19:43:00,203.7392578125,30.0322265625,0.0,0.08,
19:43:01,203.7392578125,30.0322265625,0.0,0.0,
19:43:02,206.5771484375,34.076171875,2.52,3.59,
19:43:03,899.712890625,48.609375,597.53,12.53,
19:43:05,2351.294921875,75.978515625,1206.64,22.75,
19:43:06,3355.90625,105.833984375,847.77,25.19,
19:43:07,4583.287109375,134.3623046875,1071.95,24.92,
19:43:08,4796.330078125,141.2265625,183.66,5.92,
19:43:09,4796.369140625,141.4111328125,0.03,0.16,
19:43:10,4796.369140625,141.4111328125,0.0,0.0,
19:43:12,4796.369140625,141.4111328125,0.0,0.0,
19:43:13,4796.521484375,141.748046875,0.13,0.29,
19:43:14,4796.560546875,141.748046875,0.03,0.0,
19:43:15,4796.560546875,141.748046875,0.0,0.0,
19:43:16,4796.560546875,141.748046875,0.0,0.0,
19:43:17,4797.142578125,142.4873046875,0.51,0.64,
19:43:18,4797.236328125,142.5810546875,0.08,0.08,
19:43:20,4799.0390625,145.8212890625,1.58,2.83,
19:43:21,4799.17578125,146.056640625,0.12,0.21,
19:43:22,4799.17578125,146.056640625,0.0,0.0,
19:43:23,4799.3671875,146.3935546875,0.16,0.28,
19:43:24,4816.5791015625,148.8564453125,15.15,2.17,
19:43:25,4816.5791015625,148.8564453125,0.0,0.0,
19:43:27,4816.5791015625,148.8564453125,0.0,0.0,
19:43:28,4816.7119140625,149.134765625,0.11,0.24,
