time,cpu
21:41:19,0.0%
21:41:20,1.48%
21:41:21,1.17%
21:41:23,0.58%
21:41:24,1.66%
21:41:25,1.08%
21:41:27,1.1%
21:41:28,0.85%
21:41:29,0.95%
21:41:30,1.0%
21:41:32,1.01%
21:41:33,0.99%
21:41:34,0.59%
21:41:35,1.09%
21:41:37,1.0%
21:41:38,1.01%
21:41:39,0.1%
21:41:41,0.65%
21:41:42,0.87%
21:41:43,1.07%
21:41:45,0.96%
21:41:46,0.87%
21:41:47,0.88%
21:41:48,0.86%
21:41:50,1.79%
21:41:51,1.21%
21:41:52,0.58%
21:41:54,1.0%
21:41:55,0.97%
21:41:56,0.79%
21:41:57,0.96%
21:41:59,0.1%
21:42:00,1.48%
21:42:01,22.8%
21:42:03,12.79%
21:42:04,2.09%
21:42:05,1.4%
21:42:07,1.36%
21:42:08,1.04%
21:42:09,1.21%
21:42:10,1.98%
21:42:12,19.17%
21:42:13,14.93%
21:42:14,13.88%
21:42:16,11.78%
21:42:17,10.17%
21:42:18,10.12%
21:42:19,9.95%
21:42:21,9.11%
21:42:22,9.24%
21:42:23,11.8%
21:42:25,10.95%
21:42:26,12.46%
21:42:27,10.67%
21:42:28,10.21%
21:42:30,9.54%
21:42:31,9.59%
21:42:32,10.12%
21:42:33,7.09%
21:42:35,3.48%
21:42:36,1.27%
21:42:38,1.9%
21:42:39,1.76%
21:42:40,2.02%
21:42:41,2.11%
21:42:43,2.37%
21:42:44,4.08%
21:42:45,3.24%
21:42:46,1.83%
21:42:48,1.57%
21:42:49,1.36%
21:42:50,1.53%
21:42:52,1.84%
21:42:53,1.47%
21:42:54,2.24%
21:42:55,12.34%
21:42:57,9.86%
21:42:58,10.0%
21:42:59,8.74%
21:43:00,8.67%
21:43:02,9.15%
21:43:03,8.93%
21:43:04,10.38%
21:43:06,9.71%
21:43:07,7.15%
21:43:08,13.5%
21:43:10,11.86%
21:43:11,9.74%
21:43:12,10.27%
21:43:13,10.3%
21:43:15,10.05%
21:43:16,9.51%
21:43:17,10.97%
21:43:18,9.57%
21:43:20,10.3%
21:43:21,11.22%
