time,dalick,native,graphics,total
21:41:19,5918,13782,26760,71842,
21:41:20,3689,13226,17288,58969,
21:41:21,3641,13362,17288,59305,
21:41:23,3641,13362,17288,59312,
21:41:24,3641,13374,17288,59328,
21:41:26,3881,13398,17288,59604,
21:41:27,3653,13386,17288,59320,
21:41:28,3637,13386,17288,59312,
21:41:30,3633,13386,17288,59308,
21:41:31,3633,13362,17288,59280,
21:41:32,3637,13362,17288,59280,
21:41:34,3633,13362,17288,59280,
21:41:35,3637,13362,17288,59288,
21:41:36,3637,13362,17288,59280,
21:41:38,3633,13362,17288,59280,
21:41:39,3633,13358,17288,59276,
21:41:41,3637,13354,17288,59280,
21:41:42,3633,13354,17288,59268,
21:41:43,3637,13354,17288,59289,
21:41:45,3637,13354,17288,59289,
21:41:46,3633,13346,17288,59269,
21:41:48,3641,13342,17288,59237,
21:41:49,3641,13342,17288,59233,
21:41:50,3681,13370,17288,59382,
21:41:52,3657,13370,17288,59350,
21:41:53,3657,13370,17288,59346,
21:41:55,3657,13370,17288,59334,
21:41:56,3657,13370,17288,59342,
21:41:57,3657,13370,17288,59338,
21:41:59,3657,13370,17288,59338,
21:42:00,3685,13370,17288,59369,
21:42:01,11408,30402,35128,109793,
21:42:03,5860,42046,28544,108819,
21:42:04,5428,42050,28544,108311,
21:42:06,5356,42050,28544,107819,
21:42:07,5420,42050,28544,107899,
21:42:08,5352,42046,28544,107819,
21:42:09,5352,42046,28544,107823,
21:42:11,8500,56107,51708,150488,
21:42:12,8276,59943,52252,154788,
21:42:14,7900,61431,52252,156008,
21:42:15,7520,60919,52252,155041,
21:42:16,6784,61071,52252,154318,
21:42:18,6728,61047,52252,154147,
21:42:19,6724,61071,52252,154179,
21:42:21,6728,61043,52252,154167,
21:42:22,7028,61423,55564,158201,
21:42:24,6916,61395,55564,158039,
21:42:25,6772,61607,55564,158104,
21:42:27,6896,61783,55564,158412,
21:42:28,6808,61855,55564,158385,
21:42:30,6772,61963,55564,158457,
21:42:31,6780,62047,55564,158553,
21:42:32,10146,47961,52084,145330,
21:42:34,7014,46637,40844,129584,
21:42:35,6630,46301,40112,128116,
21:42:37,6622,46301,40080,128076,
21:42:38,6626,46313,40080,128096,
21:42:40,6622,46297,40080,128072,
21:42:41,6662,46325,40080,128544,
21:42:42,6630,46297,31372,119784,
21:42:44,6846,46449,41304,130172,
21:42:45,6650,46337,40888,129028,
21:42:47,6630,46313,40856,128956,
21:42:48,6610,46357,32148,120260,
21:42:49,6610,46329,40856,128936,
21:42:51,6610,46333,40856,128940,
21:42:52,6610,46369,31988,120112,
21:42:53,6646,46349,40856,129004,
21:42:55,10418,60877,51776,158644,
21:42:56,8058,61033,51904,156483,
21:42:58,7718,61265,51904,156375,
21:42:59,7702,61369,51904,156463,
21:43:01,7750,61417,51904,156571,
21:43:02,7670,61345,51904,155931,
21:43:03,7674,61429,51904,156003,
21:43:05,7834,61401,51904,156142,
21:43:06,7690,61341,51904,155938,
21:43:08,7862,60721,51904,155486,
21:43:09,7706,60989,51904,155634,
21:43:10,7786,61169,51904,155902,
21:43:12,7682,61269,51904,155890,
21:43:13,7706,61361,51904,155990,
21:43:15,7798,61393,51904,156131,
21:43:16,7706,61441,51904,156079,
21:43:18,8114,61437,51904,156532,
21:43:19,7722,61421,51904,156112,
21:43:20,7874,61009,51904,155896,
21:43:22,null,null,null,null,
