time,down,up,down_speed,up_speed
21:41:19,0.0,0.0,0.0,0.0,
21:41:20,0.0,0.05859375,0.0,0.05,
21:41:21,0.0,0.05859375,0.0,0.0,
21:41:22,0.0,0.05859375,0.0,0.0,
21:41:23,0.0,0.05859375,0.0,0.0,
21:41:24,3.0390625,0.4931640625,2.59,0.37,
21:41:25,5.388671875,1.3828125,2.06,0.78,
21:41:27,5.388671875,1.3828125,0.0,0.0,
21:41:28,5.388671875,1.3828125,0.0,0.0,
21:41:29,5.388671875,1.3828125,0.0,0.0,
21:41:30,5.388671875,1.3828125,0.0,0.0,
21:41:31,5.388671875,1.3828125,0.0,0.0,
21:41:32,5.388671875,1.3828125,0.0,0.0,
21:41:34,5.388671875,1.3828125,0.0,0.0,
21:41:35,5.388671875,1.3828125,0.0,0.0,
21:41:36,5.388671875,1.3828125,0.0,0.0,
21:41:37,5.388671875,1.3828125,0.0,0.0,
21:41:38,5.388671875,1.3828125,0.0,0.0,
21:41:39,5.388671875,1.3828125,0.0,0.0,
21:41:40,5.388671875,1.3828125,0.0,0.0,
21:41:42,5.388671875,1.3828125,0.0,0.0,
21:41:43,5.388671875,1.3828125,0.0,0.0,
21:41:44,5.388671875,1.3828125,0.0,0.0,
21:41:45,5.388671875,1.3828125,0.0,0.0,
21:41:46,5.388671875,1.3828125,0.0,0.0,
21:41:47,5.388671875,1.3828125,0.0,0.0,
21:41:49,5.388671875,1.3828125,0.0,0.0,
21:41:50,5.388671875,1.3828125,0.0,0.0,
21:41:51,5.388671875,1.3828125,0.0,0.0,
21:41:52,5.388671875,1.3828125,0.0,0.0,
21:41:53,5.388671875,1.3828125,0.0,0.0,
21:41:54,5.388671875,1.3828125,0.0,0.0,
21:41:56,5.388671875,1.3828125,0.0,0.0,
21:41:57,5.388671875,1.3828125,0.0,0.0,
21:41:58,5.388671875,1.3828125,0.0,0.0,
21:41:59,5.388671875,1.3828125,0.0,0.0,
21:42:00,5.732421875,3.2431640625,0.3,1.63,
21:42:01,118.8291015625,19.005859375,98.6,13.74,
21:42:03,192.9619140625,24.64453125,65.78,5.0,
21:42:04,192.9619140625,24.64453125,0.0,0.0,
21:42:05,193.0615234375,24.740234375,0.08,0.08,
21:42:06,193.1552734375,24.833984375,0.08,0.08,
21:42:07,193.1552734375,24.833984375,0.0,0.0,
21:42:08,193.1552734375,24.833984375,0.0,0.0,
21:42:09,193.1552734375,24.833984375,0.0,0.0,
21:42:11,418.0703125,35.7177734375,202.26,9.79,
21:42:12,1364.759765625,70.6884765625,807.76,29.84,
21:42:13,2062.7021484375,98.7646484375,591.48,23.79,
21:42:14,3038.326171875,132.0302734375,852.07,29.05,
21:42:15,3551.5068359375,150.900390625,448.19,16.48,
21:42:16,3551.6591796875,151.052734375,0.13,0.13,
21:42:18,3551.6982421875,151.2216796875,0.03,0.14,
21:42:19,3551.779296875,151.2724609375,0.07,0.04,
21:42:20,3551.779296875,151.2724609375,0.0,0.0,
21:42:21,3551.873046875,151.3662109375,0.08,0.08,
21:42:22,3551.912109375,151.53515625,0.03,0.15,
21:42:24,3552.0947265625,151.6875,0.16,0.13,
21:42:25,3552.0947265625,151.6875,0.0,0.0,
21:42:26,3552.6767578125,152.4033203125,0.51,0.63,
21:42:27,3552.8291015625,152.5556640625,0.14,0.14,
21:42:28,3552.8291015625,152.5556640625,0.0,0.0,
21:42:29,3552.8681640625,152.724609375,0.03,0.15,
21:42:31,3553.0,152.826171875,0.11,0.08,
21:42:32,3553.1328125,153.0888671875,0.11,0.22,
21:42:33,3554.2685546875,156.7353515625,0.97,3.11,
21:42:34,3554.2685546875,156.8134765625,0.0,0.07,
21:42:35,3554.2685546875,156.8134765625,0.0,0.0,
21:42:36,3554.3076171875,156.982421875,0.03,0.15,
21:42:37,3554.3076171875,156.982421875,0.0,0.0,
21:42:39,3554.3466796875,157.1513671875,0.03,0.15,
21:42:40,3554.3466796875,157.1513671875,0.0,0.0,
21:42:41,3554.3466796875,157.1904296875,0.0,0.03,
21:42:42,3554.3466796875,157.1904296875,0.0,0.0,
21:42:43,3554.3466796875,157.1904296875,0.0,0.0,
21:42:45,3554.3466796875,157.1904296875,0.0,0.0,
21:42:46,3554.3466796875,157.1904296875,0.0,0.0,
21:42:47,3554.3466796875,157.1904296875,0.0,0.0,
21:42:48,3554.3466796875,157.1904296875,0.0,0.0,
21:42:49,3554.3466796875,157.1904296875,0.0,0.0,
21:42:50,3554.3466796875,157.1904296875,0.0,0.0,
21:42:52,3554.3466796875,157.1904296875,0.0,0.0,
21:42:53,3554.3466796875,157.1904296875,0.0,0.0,
21:42:54,3554.3466796875,157.1904296875,0.0,0.0,
21:42:55,3563.8271484375,168.59375,7.89,9.49,
21:42:56,3563.8271484375,168.59375,0.0,0.0,
